"GLORIA_region_code","GLORIA_region","FABIO_area","FABIO_area_code","FABIO_iso3c","comment","GLORIA_Lfd_Nr","GLORIA_Region_names","allocation_share"
"SVN","Slovenia","Slovenia",198,"SVN",NA,143,"Slovenia",1
"SWE","Sweden","Sweden",210,"SWE",NA,144,"Sweden",1
"SYR","Syria","Syrian Arab Republic",212,"SYR",NA,145,"Syria",1
"TCD","Chad","Chad",39,"TCD",NA,146,"Chad",1
"TGO","Togo","Togo",217,"TGO",NA,147,"Togo",1
"THA","Thailand","Thailand",216,"THA",NA,148,"Thailand",1
"TJK","Tajikistan","Tajikistan",208,"TJK",NA,149,"Tajikistan",1
"TKM","Turkmenistan","Turkmenistan",213,"TKM",NA,150,"Turkmenistan",1
"TUN","Tunisia","Tunisia",222,"TUN",NA,151,"Tunisia",1
"TUR","Turkey","Turkey",223,"TUR",NA,152,"Turkey",1
"TZA","Tanzania","United Republic of Tanzania",215,"TZA",NA,153,"Tanzania",1
"UGA","Uganda","Uganda",226,"UGA",NA,154,"Uganda",1
"UKR","Ukraine","Ukraine",230,"UKR",NA,155,"Ukraine",1
"URY","Uruguay","Uruguay",234,"URY",NA,156,"Uruguay",1
"USA","United States of America","United States of America",231,"USA",NA,157,"United States of America",1
"UZB","Uzbekistan","Uzbekistan",235,"UZB",NA,158,"Uzbekistan",1
"VEN","Venezuela","Venezuela (Bolivarian Republic of)",236,"VEN",NA,159,"Venezuela",1
"VNM","Viet Nam","Viet Nam",237,"VNM",NA,160,"Viet Nam",1
"XAF","Rest of Africa","Cabo Verde",35,"CPV",NA,3,"Rest of Africa",1
"XAF","Rest of Africa","Eswatini",209,"SWZ",NA,3,"Rest of Africa",1
"XAF","Rest of Africa","Guinea-Bissau",175,"GNB",NA,3,"Rest of Africa",1
"XAF","Rest of Africa","Lesotho",122,"LSO",NA,3,"Rest of Africa",1
"XAF","Rest of Africa","Mauritius",137,"MUS",NA,3,"Rest of Africa",1
"XAF","Rest of Africa","RoW",999,"ROW",NA,3,"Rest of Africa",0
"XAF","Rest of Africa","Sao Tome and Principe",193,"STP",NA,3,"Rest of Africa",1
"XAM","Rest of Americas","Antigua and Barbuda",8,"ATG",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","Barbados",14,"BRB",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","Grenada",86,"GRD",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","Guyana",91,"GUY",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","RoW",999,"ROW",NA,1,"Rest of Americas",0
"XAM","Rest of Americas","Saint Kitts and Nevis",188,"KNA",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","Saint Lucia",189,"LCA",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","Saint Vincent and the Grenadines",191,"VCT",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","Suriname",207,"SUR",NA,1,"Rest of Americas",1
"XAM","Rest of Americas","Trinidad and Tobago",220,"TTO",NA,1,"Rest of Americas",1
"XAS","Rest of Asia-Pacific","China, Macao SAR",128,"MAC",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","China, Taiwan Province of",214,"TWN",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","Fiji",66,"FJI",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","French Polynesia",70,"PYF","done by geographical proximity; not by connection to colonial powers (how did they do it in GLORIA?)",4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","Kiribati",83,"KIR",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","Maldives",132,"MDV",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","New Caledonia",153,"NCL",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","RoW",999,"ROW",NA,4,"Rest of Asia-Pacific",0
"XAS","Rest of Asia-Pacific","Samoa",244,"WSM",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","Solomon Islands",25,"SLB",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","Timor-Leste",176,"TLS",NA,4,"Rest of Asia-Pacific",1
"XAS","Rest of Asia-Pacific","Vanuatu",155,"VUT",NA,4,"Rest of Asia-Pacific",1
"XEU","Rest of Europe","RoW",999,"ROW",NA,2,"Rest of Europe",0
"YEM","Yemen Arab Republic/Yemen (1990/1991)","Yemen",249,"YEM",NA,161,"Yemen Arab Republic/Yemen (1990/1991)",1
"ZAF","South Africa","South Africa",202,"ZAF",NA,162,"South Africa",1
"ZMB","Zambia","Zambia",251,"ZMB",NA,163,"Zambia",1
"ZWE","Zimbabwe","Zimbabwe",181,"ZWE",NA,164,"Zimbabwe",1
